Product_ID,Material_Name,Supplier,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Source_URL
4FD00001,2-Methylbutyl 2-Methylbutyrate from PerfumersWorld,PerfumersWorld,2445-78-5,,0.33,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FD00001
4FY22527,2-Octen-4-one from PerfumersWorld,PerfumersWorld,4643-27-0,,4.10,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FY22527
0ZH20962,3-Methyl-3-Methoxy Butanol (MMB) from PerfumersWorld,PerfumersWorld,56539-66-3,,0.03,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=0ZH20962
1VD00002,6-Methyl Coumarin from PerfumersWorld,PerfumersWorld,92-48-8,,0.58,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1VD00002
5VD07562,6-Methyl Coumarin 10% in DPG from PerfumersWorld,PerfumersWorld,"92-48-8|0.1
25265-71-8|0.9",,0.18,,TRUE,6-Methyl Coumarin from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5VD07562
ISNIFF10,7-Step Custom Creation 10cc Set-Travelling Size Kit from PerfumersWorld,PerfumersWorld,Not Found,,694.95,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=ISNIFF10
ISNIFF30,7-Step Custom Creation 30cc Set-Small Display Kit from PerfumersWorld,PerfumersWorld,Not Found,,1595.95,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=ISNIFF30
ISNIFF60,7-Step Custom Creation 60cc Set-Full Size Display Kit from PerfumersWorld,PerfumersWorld,Not Found,,2995.95,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=ISNIFF60
6AN18003,A-ALDEHYDE F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.18,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6AN18003
6AN07832,A-Aldehyde Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6AN07832
6NL18079,ACACIA F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6NL18079
6NL08389,Acacia Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.19,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6NL08389
4FG02943,Acetic Acid from PerfumersWorld,PerfumersWorld,64-19-7,,0.07,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FG02943
4DV02664,Acetoin from PerfumersWorld,PerfumersWorld,513-86-0,,0.92,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4DV02664
5DV09244,Acetoin 10% in DPG from PerfumersWorld,PerfumersWorld,"513-86-0|0.1
25265-71-8|0.9",,0.13,,TRUE,Acetoin from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5DV09244
1NP00009,Acetophenone from PerfumersWorld,PerfumersWorld,98-86-2,,0.23,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1NP00009
1SP00011,Acetyl Isoeugenol from PerfumersWorld,PerfumersWorld,93-29-8,,0.60,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1SP00011
5SP07823,Acetyl Isoeugenol 10% in DPG from PerfumersWorld,PerfumersWorld,"93-29-8|0.1
25265-71-8|0.9",,0.12,,TRUE,Acetyl Isoeugenol from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5SP07823
4GA00012,Adoxal from PerfumersWorld,PerfumersWorld,141-13-9,,1.42,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4GA00012
5GA08479,Adoxal 10% in DPG from PerfumersWorld,PerfumersWorld,"141-13-9|0.1
25265-71-8|0.9",,0.17,,TRUE,Adoxal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5GA08479
6WU18875,AGARWOOD F-TEC from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,1.30,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6WU18875
6WU08483,Agarwood Fleuressence from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,1.60,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6WU08483
7WU09890,Agarwood Oil Siam from PerfumersWorld,PerfumersWorld,94350-09-1,,25.00,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=7WU09890
5WU15067,Agarwood Oil Siam 10% in DPG from PerfumersWorld,PerfumersWorld,"94350-09-1|0.1
25265-71-8|0.9",,2.80,,TRUE,Agarwood Oil Siam from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5WU15067
8WU13317,Agarwood Siam 10% in Nagarmotha Oil from PerfumersWorld,PerfumersWorld,94350-09-1|0.1,,3.94,,TRUE,Agarwood Siam from PerfumersWorld,Nagarmotha Oil from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=8WU13317
6CG13368,Agrumen Aldehyde PW from PerfumersWorld,PerfumersWorld,Mixture (Perfume Base),,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=6CG13368
3AE13387,Alcohol C-7 Heptanol from PerfumersWorld,PerfumersWorld,111-70-6,,0.34,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3AE13387
3AD13388,Alcohol C-8 Octanol from PerfumersWorld,PerfumersWorld,111-87-5,,0.20,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3AD13388
3AD00017,Alcohol C-9 from PerfumersWorld,PerfumersWorld,143-08-8,,0.70,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=3AD00017
4AC00018,Aldehyde C-10 Decanal from PerfumersWorld,PerfumersWorld,112-31-2,,0.17,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4AC00018
